Company,Sector,Industry,Market Cap,,Financials/Holding Comps,,
ACL-JSE,Non-Energy Minerals,Steel, R 13 372 ,,Property,,
ACT-JSE,Process Industries,Agricultural Commodities/Milling, R 3 260 ,,Non-Finanacials,,
ADH-JSE,Commercial Services,Miscellaneous Commercial Services, R 9 363 ,,,,
AFE-JSE,Process Industries,Chemicals: Major Diversified, R 12 466 ,,,,
AFH-JSE,Finance,Investment Banks/Brokers, R 8 223 ,,,,
AFT-JSE,Non-Energy Minerals,Construction Materials, R 3 930 ,,,,
AFX-JSE,Process Industries,Industrial Specialties, R 6 706 ,,,,
AGL-JSE,Non-Energy Minerals,Other Metals/Minerals, R 260 368 ,,,,
AIP-JSE,Health Technology,Pharmaceuticals: Generic, R 8 181 ,,,,
ALM-JSE,Technology Services,Information Technology Services,#N/A,,,,
AMS-JSE,Non-Energy Minerals,Precious Metals, R 89 591 ,,,,
ANB-JSE,Consumer Non-Durables,Beverages: Alcoholic, R 2 878 512 ,,,,
ANG-JSE,Non-Energy Minerals,Precious Metals, R 77 660 ,,,,
ANH-JSE,Consumer Non-Durables,Beverages: Alcoholic, R 2 878 512 ,,,,
APF-JSE,Finance,Real Estate Investment Trusts, R 5 674 ,,,,
APN-JSE,Health Technology,Pharmaceuticals: Generic, R 138 980 ,,,,
ARI-JSE,Non-Energy Minerals,Other Metals/Minerals, R 21 132 ,,,,
ARL-JSE,Process Industries,Agricultural Commodities/Milling, R 5 330 ,,,,
ASC-JSE,Health Technology,Biotechnology, R 12 320 ,,,,
ASR-JSE,Non-Energy Minerals,Other Metals/Minerals, R 23 573 ,,,,
ATT-JSE,Finance,Real Estate Development, R 12 688 ,,,,
AVI-JSE,Producer Manufacturing,Industrial Conglomerates, R 32 439 ,,,,
AWA-JSE,Finance,Real Estate Investment Trusts, R 8 771 ,,,,
AWB-JSE,Finance,Real Estate Investment Trusts,#N/A,,,,
BAT-JSE,Finance,Investment Banks/Brokers, R 49 059 ,,,,
BAW-JSE,Producer Manufacturing,Industrial Conglomerates, R 18 530 ,,,,
BGA-JSE,Finance,Regional Banks, R 131 232 ,,,,
BID-JSE,Finance,Financial Conglomerates, R 83 512 ,,,,
BIL-JSE,Non-Energy Minerals,Other Metals/Minerals, R 445 351 ,,,,
BLU-JSE,Consumer Services,Other Consumer Services, R 13 996 ,,,,
BRN-JSE,Miscellaneous,Investment Trusts/Mutual Funds, R 3 264 ,,,,
BTI-JSE,Consumer Non-Durables,Tobacco, R 1 455 723 ,,,,
BVT-JSE,Commercial Services,Miscellaneous Commercial Services, R 56 697 ,,,,
BWN-JSE,Finance,Real Estate Development, R 3 296 ,,,,
CAT-JSE,Commercial Services,Commercial Printing/Forms, R 5 150 ,,,,
CCO-JSE,Finance,Real Estate Development, R 41 281 ,,,,
CFR-JSE,Consumer Durables,Other Consumer Specialties, R 480 919 ,,,,
CGR-JSE,Consumer Durables,Homebuilding, R 2 470 ,,,,
CHP-JSE,Retail Trade,Food Retail, R 5 425 ,,,,
CIL-JSE,Non-Energy Minerals,Construction Materials, R 3 976 ,,,,
CLH-JSE,Consumer Services,Hotels/Resorts/Cruiselines, R 6 829 ,,,,
CLI-JSE,Finance,Life/Health Insurance, R 5 178 ,,,,
CLR-JSE,Consumer Non-Durables,Food: Meat/Fish/Dairy, R 3 550 ,,,,
CLS-JSE,Retail Trade,Drugstore Chains, R 29 992 ,,,,
CML-JSE,Finance,Investment Managers, R 26 756 ,,,,
COH-JSE,Consumer Services,Other Consumer Services, R 19 747 ,,,,
CPI-JSE,Finance,Regional Banks, R 78 279 ,,,,
CRP-JSE,Finance,Real Estate Investment Trusts, R 6 965 ,,,,
CSB-JSE,Retail Trade,Specialty Stores, R 9 871 ,,,,
CVH-JSE,Consumer Non-Durables,Beverages: Alcoholic, R 8 801 ,,,,
DLT-JSE,Finance,Real Estate Investment Trusts, R 5 280 ,,,,
DST-JSE,Consumer Non-Durables,Beverages: Alcoholic, R 36 740 ,,,,
DSY-JSE,Finance,Life/Health Insurance, R 73 159 ,,,,
DTC-JSE,Technology Services,Information Technology Services, R 9 605 ,,,,
ECO-JSE,Retail Trade,Apparel/Footwear Retail,#N/A,,,,
ELD-JSE,Non-Energy Minerals,Precious Metals,#N/A,,,,
EMI-JSE,Finance,Real Estate Investment Trusts, R 7 158 ,,,,
EOH-JSE,Technology Services,Information Technology Services, R 23 199 ,,,,
EXO-JSE,Energy Minerals,Oil & Gas Production,#N/A,,,,
EXX-JSE,Energy Minerals,Coal, R 35 991 ,,,,
FBR-JSE,Consumer Services,Restaurants, R 15 535 ,,,,
FFA-JSE,Finance,Real Estate Investment Trusts, R 18 039 ,,,,
FFB-JSE,Finance,Real Estate Investment Trusts, R 31 908 ,,,,
FSR-JSE,Finance,Financial Conglomerates, R 263 309 ,,,,
GFI-JSE,Non-Energy Minerals,Precious Metals, R 47 780 ,,,,
GLN-JSE,Non-Energy Minerals,Other Metals/Minerals, R 589 609 ,,,,
GND-JSE,Transportation,Marine Shipping, R 8 937 ,,,,
GRF-JSE,Industrial Services,Engineering & Construction, R 2 583 ,,,,
GRT-JSE,Finance,Real Estate Investment Trusts, R 71 064 ,,,,
HAR-JSE,Non-Energy Minerals,Precious Metals, R 19 035 ,,,,
HCI-JSE,Producer Manufacturing,Industrial Conglomerates, R 13 257 ,,,,
HCL-JSE,,,#N/A,,,,
HDC-JSE,Distribution Services,Wholesale Distributors, R 3 859 ,,,,
HSP-JSE,Retail Trade,Apparel/Footwear Retail, R 2 564 ,,,,
HYP-JSE,Finance,Real Estate Investment Trusts, R 29 157 ,,,,
IAP-JSE,,, R 4 822 ,,,,
IDI-JSE,Electronic Technology,Electronic Components,#N/A,,,,
IMP-JSE,Non-Energy Minerals,Precious Metals, R 40 185 ,,,,
INL-JSE,Finance,Regional Banks, R 25 333 ,,,,
INP-JSE,Finance,Investment Banks/Brokers, R 55 842 ,,,,
IPF-JSE,Finance,Real Estate Investment Trusts, R 10 749 ,,,,
IPL-JSE,Transportation,Trucking, R 35 200 ,,,,
ITE-JSE,Retail Trade,Specialty Stores, R 14 983 ,,,,
ITU-JSE,Finance,Real Estate Investment Trusts, R 64 240 ,,,,
IVT-JSE,Distribution Services,Wholesale Distributors, R 6 021 ,,,,
JDG-JSE,Retail Trade,Specialty Stores,#N/A,,,,
JSE-JSE,Finance,Investment Banks/Brokers, R 13 666 ,,,,
KAP-JSE,Consumer Non-Durables,Food: Meat/Fish/Dairy, R 18 334 ,,,,
KIO-JSE,Non-Energy Minerals,Steel, R 43 482 ,,,,
KST-JSE,Finance,Investment Banks/Brokers, R 9 255 ,,,,
LBH-JSE,Finance,Life/Health Insurance, R 32 782 ,,,,
LEW-JSE,Retail Trade,Specialty Stores, R 3 920 ,,,,
LHC-JSE,Health Services,Hospital/Nursing Management, R 38 864 ,,,,
LON-JSE,Non-Energy Minerals,Precious Metals, R 9 280 ,,,,
MEI-JSE,Health Services,Hospital/Nursing Management, R 111 324 ,,,,
MLA-JSE,,,#N/A,,,,
MMI-JSE,Finance,Financial Conglomerates, R 35 350 ,,,,
MND-JSE,Process Industries,Pulp & Paper, R 32 252 ,,,,
MNP-JSE,Process Industries,Pulp & Paper, R 99 702 ,,,,
MPT-JSE,Process Industries,Containers/Packaging, R 5 683 ,,,,
MRP-JSE,Retail Trade,Department Stores, R 39 612 ,,,,
MSM-JSE,Retail Trade,Department Stores, R 24 612 ,,,,
MSP-JSE,Finance,Real Estate Development, R 7 495 ,,,,
MTA-JSE,Producer Manufacturing,Auto Parts: OEM, R 3 878 ,,,,
MTN-JSE,Communications,Wireless Telecommunications, R 212 398 ,,,,
MUR-JSE,Industrial Services,Engineering & Construction, R 4 625 ,,,,
NED-JSE,Finance,Regional Banks, R 109 338 ,,,,
NEP-JSE,Finance,Real Estate Development, R 54 733 ,,,,
NHM-JSE,Producer Manufacturing,Metal Fabrication, R 25 922 ,,,,
NIV-JSE,Miscellaneous,Investment Trusts/Mutual Funds, R 4 838 ,,,,
NPK-JSE,Process Industries,Containers/Packaging, R 12 768 ,,,,
NPN-JSE,Consumer Services,Cable/Satellite TV, R 1 030 012 ,,,,
NT1-JSE,Technology Services,Packaged Software, R 8 456 ,,,,
NTC-JSE,Health Services,Hospital/Nursing Management, R 50 801 ,,,,
NVS-JSE,Commercial Services,Miscellaneous Commercial Services, R 3 647 ,,,,
OCE-JSE,Consumer Non-Durables,Food: Meat/Fish/Dairy, R 15 858 ,,,,
OCT-JSE,Finance,Real Estate Development, R 5 480 ,,,,
OML-JSE,Finance,Financial Conglomerates, R 167 216 ,,,,
OMN-JSE,Process Industries,Chemicals: Major Diversified, R 11 480 ,,,,
PAN-JSE,Non-Energy Minerals,Precious Metals, R 7 054 ,,,,
PFG-JSE,Consumer Non-Durables,Food: Major Diversified, R 37 433 ,,,,
PGL-JSE,Non-Energy Minerals,Precious Metals, R 2 852 ,,,,
PGR-JSE,Finance,Financial Conglomerates, R 5 984 ,,,,
PIK-JSE,Retail Trade,Food Retail, R 32 252 ,,,,
PIV-JSE,Finance,Real Estate Development, R 5 540 ,,,,
PPC-JSE,Non-Energy Minerals,Construction Materials, R 9 700 ,,,,
PSG-JSE,Finance,Investment Managers, R 48 510 ,,,,
RBP-JSE,Non-Energy Minerals,Precious Metals, R 8 127 ,,,,
RBX-JSE,Industrial Services,Engineering & Construction, R 4 546 ,,,,
RCL-JSE,Consumer Non-Durables,Food: Meat/Fish/Dairy, R 12 582 ,,,,
RDF-JSE,Finance,Real Estate Investment Trusts, R 58 065 ,,,,
REB-JSE,Finance,Real Estate Investment Trusts, R 6 261 ,,,,
REI-JSE,Miscellaneous,Investment Trusts/Mutual Funds, R 54 394 ,,,,
REM-JSE,Producer Manufacturing,Industrial Conglomerates, R 118 846 ,,,,
RES-JSE,Finance,Real Estate Investment Trusts, R 44 228 ,,,,
RFG-JSE,Consumer Non-Durables,Food: Major Diversified, R 5 549 ,,,,
RLO-JSE,Producer Manufacturing,Industrial Conglomerates, R 11 427 ,,,,
RMH-JSE,Finance,Financial Conglomerates, R 82 726 ,,,,
RMI-JSE,Finance,Multi-Line Insurance, R 59 175 ,,,,
ROC-JSE,Finance,Real Estate Development, R 35 173 ,,,,
RPL-JSE,Finance,Real Estate Investment Trusts, R 13 280 ,,,,
S32-JSE,Non-Energy Minerals,Other Metals/Minerals, R 146 403 ,,,,
SAB-JSE,Consumer Non-Durables,Beverages: Alcoholic, R 1 286 605 ,,,,
SAC-JSE,Finance,Real Estate Investment Trusts, R 13 296 ,,,,
SAP-JSE,Process Industries,Pulp & Paper, R 41 903 ,,,,
SBK-JSE,Finance,Regional Banks, R 229 359 ,,,,
SCD-JSE,,, R 2 482 ,,,,
SGL-JSE,Non-Energy Minerals,Precious Metals, R 38 582 ,,,,
SHP-JSE,Retail Trade,Food Retail, R 111 651 ,,,,
SLM-JSE,Finance,Financial Conglomerates, R 143 160 ,,,,
SNH-JSE,Consumer Durables,Home Furnishings, R 315 528 ,,,,
SNT-JSE,Finance,Property/Casualty Insurance, R 28 096 ,,,,
SOL-JSE,Process Industries,Chemicals: Specialty, R 252 485 ,,,,
SPG-JSE,Transportation,Air Freight/Couriers, R 14 837 ,,,,
SPP-JSE,Distribution Services,Wholesale Distributors, R 36 918 ,,,,
STP-JSE,Finance,Financial Conglomerates, R 5 521 ,,,,
SUI-JSE,Consumer Services,Casinos/Gaming, R 8 830 ,,,,
SUR-JSE,Consumer Services,Restaurants, R 3 580 ,,,,
TBS-JSE,Consumer Non-Durables,Food: Major Diversified, R 70 490 ,,,,
TCP-JSE,Finance,Finance/Rental/Leasing, R 7 371 ,,,,
TDH-JSE,Finance,Real Estate Development, R 4 054 ,,,,
TEX-JSE,Finance,Real Estate Investment Trusts, R 2 933 ,,,,
TFG-JSE,Retail Trade,Apparel/Footwear Retail, R 29 422 ,,,,
TKG-JSE,Communications,Major Telecommunications, R 30 584 ,,,,
TON-JSE,Process Industries,Agricultural Commodities/Milling, R 16 254 ,,,,
TRE-JSE,Transportation,Marine Shipping, R 4 958 ,,,,
TRU-JSE,Retail Trade,Apparel/Footwear Retail, R 32 076 ,,,,
TSH-JSE,Consumer Services,Casinos/Gaming, R 32 357 ,,,,
TTO-JSE,Producer Manufacturing,Industrial Conglomerates, R 2 710 ,,,,
VKE-JSE,Finance,Real Estate Investment Trusts, R 12 777 ,,,,
VNF-JSE,Finance,Financial Conglomerates,#N/A,,,,
VOD-JSE,Communications,Wireless Telecommunications, R 220 202 ,,,,
WBO-JSE,Industrial Services,Engineering & Construction, R 9 289 ,,,,
WHL-JSE,Retail Trade,Department Stores, R 81 055 ,,,,
ZED-JSE,Finance,Investment Managers, R 11 681 ,,,,
